year,tournament_name,nation,trophy
1998,Five Nations,England,Calcutta Cup
1998,Five Nations,England,Millennium Trophy
1998,Five Nations,Scotland,Centenary Quaich
1998,Five Nations,Ireland,Wooden Spoon
1999,Five Nations,Scotland,Champions
1999,Five Nations,Scotland,Centenary Quaich
1999,Five Nations,England,Calcutta Cup
1999,Five Nations,England,Millennium Trophy
1999,Five Nations,France,Wooden Spoon
2000,Six Nations,England,Champions
2000,Six Nations,England,Millennium Trophy
2000,Six Nations,Ireland,Centenary Quaich
2000,Six Nations,Scotland,Calcutta Cup
2000,Six Nations,Italy,Wooden Spoon
2001,Six Nations,England,Champions
2001,Six Nations,England,Calcutta Cup
2001,Six Nations,Ireland,Millennium Trophy
2001,Six Nations,Scotland,Centenary Quaich
2001,Six Nations,Italy,Wooden Spoon
2002,Six Nations,France,Champions
2002,Six Nations,France,Grandslam
2002,Six Nations,England,Triple Crown
2002,Six Nations,England,Calcutta Cup
2002,Six Nations,England,Millennium Trophy
2002,Six Nations,Scotland,Centenary Quaich
2002,Six Nations,Italy,Wooden Spoon
2003,Six Nations,England,Champions
2003,Six Nations,England,Grandslam
2003,Six Nations,England,Triple Crown
2003,Six Nations,England,Calcutta Cup
2003,Six Nations,England,Millennium Trophy
2003,Six Nations,Ireland,Centenary Quaich
2003,Six Nations,Wales,Wooden Spoon
2004,Six Nations,France,Champions
2004,Six Nations,France,Grandslam
2004,Six Nations,Ireland,Triple Crown
2004,Six Nations,Ireland,Millennium Trophy
2004,Six Nations,Ireland,Centenary Quaich
2004,Six Nations,England,Calcutta Cup
2004,Six Nations,Scotland,Wooden Spoon
2005,Six Nations,Wales,Champions
2005,Six Nations,Wales,Grandslam
2005,Six Nations,Wales,Triple Crown
2005,Six Nations,Ireland,Millennium Trophy
2005,Six Nations,Ireland,Centenary Quaich
2005,Six Nations,England,Calcutta Cup
2005,Six Nations,Italy,Wooden Spoon
2006,Six Nations,France,Champions
2006,Six Nations,Ireland,Triple Crown
2006,Six Nations,Ireland,Millennium Trophy
2006,Six Nations,Ireland,Centenary Quaich
2006,Six Nations,Scotland,Calcutta Cup
2006,Six Nations,Italy,Wooden Spoon
2007,Six Nations,France,Champions
2007,Six Nations,France,Giuseppe Garibaldi Trophy
2007,Six Nations,Ireland,Triple Crown
2007,Six Nations,Ireland,Millennium Trophy
2007,Six Nations,Ireland,Centenary Quaich
2007,Six Nations,England,Calcutta Cup
2007,Six Nations,Scotland,Wooden Spoon
2008,Six Nations,Wales,Champions
2008,Six Nations,Wales,Grandslam
2008,Six Nations,Wales,Triple Crown
2008,Six Nations,England,Millennium Trophy
2008,Six Nations,France,Giuseppe Garibaldi Trophy
2008,Six Nations,Ireland,Centenary Quaich
2008,Six Nations,Scotland,Calcutta Cup
2008,Six Nations,Italy,Wooden Spoon
2009,Six Nations,Ireland,Champions
2009,Six Nations,Ireland,Grandslam
2009,Six Nations,Ireland,Triple Crown
2009,Six Nations,Ireland,Millennium Trophy
2009,Six Nations,Ireland,Centenary Quaich
2009,Six Nations,England,Calcutta Cup
2009,Six Nations,France,Giuseppe Garibaldi Trophy
2009,Six Nations,Italy,Wooden Spoon
2010,Six Nations,France,Champions
2010,Six Nations,France,Grandslam
2010,Six Nations,France,Giuseppe Garibaldi Trophy
2010,Six Nations,Ireland,Millennium Trophy
2010,Six Nations,Scotland,Centenary Quaich
2010,Six Nations,Italy,Wooden Spoon
2011,Six Nations,England,Champions
2011,Six Nations,England,Calcutta Cup
2011,Six Nations,Ireland,Millennium Trophy
2011,Six Nations,Ireland,Centenary Quaich
2011,Six Nations,Italy,Giuseppe Garibaldi Trophy
2011,Six Nations,Italy,Wooden Spoon
2012,Six Nations,Wales,Champions
2012,Six Nations,Wales,Grandslam
2012,Six Nations,Wales,Triple Crown
2012,Six Nations,England,Calcutta Cup
2012,Six Nations,England,Millennium Trophy
2012,Six Nations,Ireland,Centenary Quaich
2012,Six Nations,France,Giuseppe Garibaldi Trophy
2012,Six Nations,Scotland,Wooden Spoon
2013,Six Nations,Wales,Champions
2013,Six Nations,England,Calcutta Cup
2013,Six Nations,England,Millennium Trophy
2013,Six Nations,Scotland,Centenary Quaich
2013,Six Nations,Italy,Giuseppe Garibaldi Trophy
2013,Six Nations,France,Wooden Spoon
2014,Six Nations,Ireland,Champions
2014,Six Nations,Ireland,Centenary Quaich
2014,Six Nations,England,Triple Crown
2014,Six Nations,England,Calcutta Cup
2014,Six Nations,England,Millennium Trophy
2014,Six Nations,France,Giuseppe Garibaldi Trophy
2014,Six Nations,Italy,Wooden Spoon
2015,Six Nations,Ireland,Champions
2015,Six Nations,Ireland,Millennium Trophy
2015,Six Nations,Ireland,Centenary Quaich
2015,Six Nations,England,Calcutta Cup
2015,Six Nations,France,Giuseppe Garibaldi Trophy
2015,Six Nations,Scotland,Wooden Spoon
2016,Six Nations,England,Champions
2016,Six Nations,England,Grandslam
2016,Six Nations,England,Triple Crown
2016,Six Nations,England,Calcutta Cup
2016,Six Nations,England,Millennium Trophy
2016,Six Nations,Ireland,Centenary Quaich
2016,Six Nations,France,Giuseppe Garibaldi Trophy
2016,Six Nations,Italy,Wooden Spoon
2017,Six Nations,England,Champions
2017,Six Nations,England,Calcutta Cup
2017,Six Nations,Ireland,Millennium Trophy
2017,Six Nations,France,Giuseppe Garibaldi Trophy
2017,Six Nations,Scotland,Centenary Quaich
2017,Six Nations,Italy,Wooden Spoon
2018,Six Nations,Ireland,Champions
2018,Six Nations,Ireland,Grandslam
2018,Six Nations,Ireland,Triple Crown
2018,Six Nations,Ireland,Millennium Trophy
2018,Six Nations,Ireland,Centenary Quaich
2018,Six Nations,Scotland,Calcutta Cup
2018,Six Nations,Scotland,Auld Alliance Trophy
2018,Six Nations,France,Giuseppe Garibaldi Trophy
2018,Six Nations,Italy,Wooden Spoon
2019,Six Nations,Ireland,Centenary Quaich
2019,Six Nations,Wales,Champions
2019,Six Nations,Wales,Grandslam
2019,Six Nations,Wales,Triple Crown
2019,Six Nations,Wales,Doddie Weir Trophy
2019,Six Nations,France,Auld Alliance Trophy
2019,Six Nations,England,Millennium Trophy
2019,Six Nations,Italy,Wooden Spoon
2020,Six Nations,Ireland,Centenary Quaich
2020,Six Nations,Scotland,Auld Alliance Trophy
2020,Six Nations,Scotland,Doddie Weir Trophy
2020,Six Nations,England,Champions
2020,Six Nations,England,Triple Crown
2020,Six Nations,England,Calcutta Cup
2020,Six Nations,England,Millennium Trophy
2020,Six Nations,Italy,Wooden Spoon
